svtype	count	AF	merge
DEL	47328	0.07975401241563942	BCFtools
INS	155722	0.0385355665923213	BCFtools
DEL	29049	0.12995046264861598	Jasmine
INS	46252	0.12974965671455682	Jasmine
DEL	26496	0.13541091574857334	Naive
INS	36514	0.14241190223361913	Naive
DEL	17810	0.18265878694039936	SURVIVOR
INS	24818	0.19468565404884056	SURVIVOR
DEL	36644	0.10178490618106367	Truvari
INS	77945	0.07570884650977829	Truvari
