TP-base	TP-call	FP	FN	precision	recall	f1	base cnt	call cnt	TP-call_TP-gt	TP-call_FP-gt	TP-base_TP-gt	TP-base_FP-gt	gt_concordance	reference	pVCF merge	caller	sample
9539	9539	3794	15647	0.7154428860721518	0.378742158341936	0.49528803966873486	25186	13333	5821	3718	5821	3718	0.8349931858685397	grch38	Truvari	biograph	HG03683
7117	7117	1694	17814	0.8077403245942572	0.2854678913802094	0.4218481417817557	24931	8811	4530	2587	4530	2587	0.8571027118167768	grch38	Jasmine	manta	NA20509
7583	7583	1696	18028	0.8172216833710529	0.2960837140291281	0.4346804241903124	25611	9279	4687	2896	4687	2896	0.8520374521957009	grch38	BCFtools	manta	HG03683
9053	9053	3430	15976	0.7252263077785789	0.36170042750409526	0.4826722115589678	25029	12483	5609	3444	5609	3444	0.8345299900585441	grch38	Jasmine	biograph	HG00096
8632	8632	3311	15719	0.7227664740852382	0.35448236212065215	0.47567090979225224	24351	11943	5298	3334	5298	3334	0.8461538461538461	hg19	Truvari	biograph	NA19650
8010	8010	4864	16379	0.6221842473201802	0.32842674976423797	0.4299170759198132	24389	12874	4818	3192	4818	3192	0.8690387016229713	chm13	SURVIVOR	biograph	HG03486
9192	9192	4777	16741	0.6580284916601045	0.35445185670766977	0.4607287855245351	25933	13969	5240	3952	5240	3952	0.8384464751958225	chm13	Naive	biograph	HG02587
7846	7846	5253	11776	0.5989770211466524	0.39985730302721434	0.4795696953027108	19622	13099	5268	2578	5268	2578	0.8780270201376498	hg19	SURVIVOR	biograph	HG00512
9853	9853	4116	18521	0.7053475553010237	0.3472545287939663	0.4653897928819404	28374	13969	5448	4405	5448	4405	0.8170100477012078	chm13	BCFtools	biograph	HG02587
9290	9290	3584	20343	0.721609445393817	0.3135018391657949	0.4371044769096854	29633	12874	5327	3963	5327	3963	0.8384284176533907	chm13	Truvari	biograph	HG03486
10413	10413	4547	18365	0.6960561497326203	0.36183890471888247	0.4761534592345329	28778	14960	5956	4457	5956	4457	0.8212810909440122	hg19	Jasmine	biograph	HG02818
8449	8449	3977	13846	0.679945276034122	0.37896389324960755	0.4866795311194954	22295	12426	5468	2981	5468	2981	0.8572612143448929	grch38	Naive	biograph	HG00864
8984	8984	3442	16355	0.7230001609528408	0.35455227120249416	0.4757844565073481	25339	12426	5678	3306	5678	3306	0.8379341050756901	grch38	BCFtools	biograph	HG00864
6501	6501	2548	13981	0.7184219250745939	0.3174006444683136	0.4402830923436389	20482	9049	4206	2295	4206	2295	0.8803261036763574	grch38	SURVIVOR	manta	HG03732
6676	6676	2723	13670	0.71028832854559	0.32812346407156195	0.44888216506975964	20346	9399	4284	2392	4284	2392	0.8735769922109047	grch38	SURVIVOR	manta	HG02492
7518	7518	4741	12112	0.6132637246104903	0.38298522669383595	0.471510552228041	19630	12259	4917	2601	4917	2601	0.8737696195796755	hg19	SURVIVOR	biograph	NA20509
9084	9084	5846	14318	0.6084393837910248	0.3881719511152893	0.4739643118021496	23402	14930	5493	3591	5493	3591	0.8499559665345663	grch38	SURVIVOR	biograph	HG03371
7241	7241	1729	17575	0.8072463768115942	0.291787556415216	0.4286390812762682	24816	8970	4710	2531	4710	2531	0.8563734290843806	grch38	BCFtools	manta	HG01596
9872	9872	5088	15507	0.6598930481283423	0.3889830174553765	0.4894518951882793	25379	14960	5804	4068	5804	4068	0.8421799027552674	hg19	Naive	biograph	HG02818
8385	8385	2194	16916	0.7926079969751394	0.331409825698589	0.4673913043478261	25301	10579	5293	3092	5293	3092	0.8432915921288014	grch38	BCFtools	manta	HG00513
10584	10584	4376	18194	0.7074866310160428	0.36778094377649595	0.4839727468105538	28778	14960	6027	4557	6027	4557	0.8201058201058201	hg19	BCFtools	biograph	HG02818
9116	9116	3699	15262	0.7113538821693328	0.37394371974731316	0.490199768773694	24378	12815	5820	3296	5820	3296	0.8368802106186924	grch38	Truvari	biograph	HG01596
10670	10670	5317	14203	0.6674172765371864	0.42897921440919873	0.5222711698482623	24873	15987	6603	4067	6603	4067	0.8259606373008435	grch38	Truvari	biograph	HG00513
6666	6666	3028	13969	0.687641840313596	0.3230433729101042	0.43957928055656303	20635	9694	4103	2563	4103	2563	0.8702370237023702	chm13	Naive	biograph	NA20847
7060	7060	2634	15481	0.7282855374458428	0.31320704494033097	0.4380331937335195	22541	9694	4247	2813	4247	2813	0.8536827195467422	chm13	BCFtools	biograph	NA20847
8539	8539	3179	16593	0.7287079706434545	0.33976603533343946	0.4634464043419267	25132	11718	5344	3195	5344	3195	0.8523246281766015	grch38	Jasmine	biograph	HG00171
7766	7766	2918	15874	0.72688131785848	0.3285109983079526	0.4525113623120849	23640	10684	4700	3066	4700	3066	0.8626062322946175	grch38	SURVIVOR	manta	NA19240
7447	7447	1711	17550	0.8131688141515615	0.2979157498899868	0.43607085346215785	24997	9158	4822	2625	4822	2625	0.8604807304955016	grch38	Jasmine	manta	HG00512
10991	10991	4819	18813	0.6951929158760278	0.36877600322104415	0.48191344762572896	29804	15810	6349	4642	6349	4642	0.8166681830588663	grch38	Jasmine	biograph	HG02587
6864	6864	2530	14924	0.7306791569086651	0.315035799522673	0.4402539926880893	21788	9394	4218	2646	4218	2646	0.8615967365967366	chm13	BCFtools	biograph	HG00096
8416	8416	5206	14763	0.6178241080604904	0.3630872772768454	0.4573788755740333	23179	13622	4999	3417	4999	3417	0.8632366920152091	grch38	SURVIVOR	biograph	NA19983
6549	6549	2845	13549	0.697147115179902	0.3258533187381829	0.4441204394412044	20098	9394	4091	2458	4091	2458	0.8772331653687586	chm13	Naive	biograph	HG00096
8393	8393	3123	15872	0.7288120875303925	0.345889140737688	0.4691316620552807	24265	11516	5251	3142	5251	3142	0.841058024544263	hg19	Truvari	biograph	HG01505
8946	8946	6014	13903	0.5979946524064171	0.3915269814871548	0.47322066174720306	22849	14960	5345	3601	5345	3601	0.854348312094791	hg19	SURVIVOR	biograph	HG02818
7461	7461	4677	12821	0.6146811665842807	0.3678631298688492	0.4602714373843307	20282	12138	4852	2609	4852	2609	0.8740115266050127	grch38	SURVIVOR	biograph	NA12329
9182	9182	3917	15470	0.700969539659516	0.3724647087457407	0.4864506900479457	24652	13099	5916	3266	5916	3266	0.8428446961446308	hg19	Jasmine	biograph	HG00512
8185	8185	4074	13346	0.6676727302390081	0.38014955180901955	0.4844628588339745	21531	12259	5279	2906	5279	2906	0.8624312767257177	hg19	Naive	biograph	NA20509
8790	8790	3469	15661	0.7170242270984583	0.3594944992024866	0.4788885862162898	24451	12259	5513	3277	5513	3277	0.843230944254835	hg19	BCFtools	biograph	NA20509
7861	7861	4777	12813	0.6220129767368254	0.38023604527425753	0.471962055715658	20674	12638	5068	2793	5068	2793	0.8619768477292965	grch38	SURVIVOR	biograph	HG03009
7978	7978	2908	15582	0.7328679037295609	0.33862478777589133	0.4632177901643152	23560	10886	4769	3209	4769	3209	0.8587365254449737	grch38	SURVIVOR	manta	HG03125
6598	6598	2361	15138	0.736466123451278	0.30355171144644827	0.42990715100179183	21736	8959	3913	2685	3913	2685	0.8645043952712943	chm13	BCFtools	biograph	HG00171
8690	8690	3569	15761	0.7088669548902847	0.35540468692487015	0.4734404794333968	24451	12259	5474	3216	5474	3216	0.8461449942462601	hg19	Jasmine	biograph	NA20509
8648	8648	4451	12964	0.66020306893656	0.4001480658893207	0.4982858459854225	21612	13099	5714	2934	5714	2934	0.8635522664199815	hg19	Naive	biograph	HG00512
6286	6286	2673	13672	0.7016408081259069	0.3149614189798577	0.4347615589445654	19958	8959	3799	2487	3799	2487	0.8784600699968184	chm13	Naive	biograph	HG00171
9220	9220	3879	15432	0.7038705244675166	0.37400616582833035	0.4884638817514768	24652	13099	5937	3283	5937	3283	0.8427331887201736	hg19	BCFtools	biograph	HG00512
8802	8802	3449	16806	0.7184719614725329	0.3437207122774133	0.4649885099976228	25608	12251	5415	3387	5415	3387	0.8328788911610997	grch38	Jasmine	biograph	NA20847
8607	8607	1768	20612	0.8295903614457831	0.29456860262158185	0.434762842854978	29219	10375	4966	3641	4966	3641	0.8415243406529569	grch38	BCFtools	manta	HG02011
10589	10589	4324	18211	0.7100516328035942	0.36767361111111113	0.48447830164939487	28800	14913	6029	4560	6029	4560	0.8246293323259987	grch38	Truvari	biograph	HG02011
6278	6278	2237	13995	0.7372871403405754	0.3096729640408425	0.4361539530359872	20273	8515	4201	2077	4201	2077	0.8862695125836254	grch38	SURVIVOR	manta	NA18939
7364	7364	2998	15325	0.7106736151322138	0.32456256335669265	0.4456143535747783	22689	10362	4407	2957	4407	2957	0.851303639326453	chm13	Truvari	biograph	HG00733
8518	8518	2041	20790	0.806705180414812	0.29063736863654976	0.4273208417989816	29308	10559	4971	3547	4971	3547	0.8396337168349378	grch38	Jasmine	manta	HG02818
6301	6301	4061	12628	0.6080872418452036	0.332875482064557	0.4302345430336963	18929	10362	3940	2361	3940	2361	0.88303443897794	chm13	SURVIVOR	biograph	HG00733
10460	10460	4151	19511	0.7158989802203819	0.34900403723599477	0.46924767843524284	29971	14611	6101	4359	6101	4359	0.8289674952198853	grch38	Jasmine	biograph	HG03486
5913	5913	3481	12009	0.6294443261656376	0.3299296953465015	0.432933079513838	17922	9394	3745	2168	3745	2168	0.8856756299678674	chm13	SURVIVOR	biograph	HG00096
11370	11370	4615	18356	0.7112918360963403	0.3824934400861199	0.4974732558902671	29726	15985	6513	4857	6513	4857	0.8233069481090589	grch38	BCFtools	biograph	NA19238
10556	10556	5429	15538	0.6603690960275258	0.40453744155744614	0.501722949689869	26094	15985	6260	4296	6260	4296	0.8453012504736642	grch38	Naive	biograph	NA19238
6842	6842	2552	14615	0.7283372365339579	0.3188702987370089	0.44355126251985344	21457	9394	4204	2638	4204	2638	0.8618824904998539	chm13	Truvari	biograph	HG00096
6865	6865	1946	15081	0.7791397117239813	0.3128132689328351	0.4464024449718763	21946	8811	4424	2441	4424	2441	0.8700655498907501	grch38	Naive	manta	NA20509
10501	10501	4381	19056	0.7056175245262734	0.35527962919105455	0.4726028938544971	29557	14882	6106	4395	6106	4395	0.816779354347205	grch38	Jasmine	biograph	HG03065
7581	7581	3144	15920	0.7068531468531468	0.32258201778647716	0.442996552328639	23501	10725	4574	3007	4574	3007	0.8589895792111859	chm13	Jasmine	biograph	HG03683
7577	7577	1702	17609	0.8165750619678844	0.3008417374731994	0.4396924416074278	25186	9279	4688	2889	4688	2889	0.8524481984954467	grch38	Truvari	manta	HG03683
8426	8426	3508	15890	0.706049941344059	0.34652080934364204	0.46488275862068956	24316	11934	5160	3266	5160	3266	0.825539995252789	hg19	Truvari	biograph	HG00732
6381	6381	2389	13836	0.727594070695553	0.31562546371865263	0.4402663262841964	20217	8770	4236	2145	4236	2145	0.8840307161886851	grch38	SURVIVOR	manta	HG00864
9177	9177	3685	16222	0.7134971233089722	0.3613134375369109	0.47970518282324043	25399	12862	5594	3583	5594	3583	0.8320802005012531	grch38	BCFtools	biograph	HG03732
8967	8967	4897	13379	0.6467830351990768	0.40127987111787344	0.49527754763877385	22346	13864	5676	3291	5676	3291	0.8566967770714843	grch38	Naive	biograph	HG02492
5712	5712	3247	12029	0.6375711574952562	0.32196606730173044	0.42786516853932577	17741	8959	3491	2221	3491	2221	0.886204481792717	chm13	SURVIVOR	biograph	HG00171
9689	9689	4175	15700	0.6988603577611079	0.3816219622671236	0.49366927368608776	25389	13864	5920	3769	5920	3769	0.834245020125916	grch38	BCFtools	biograph	HG02492
8598	8598	4264	13863	0.6684807961436791	0.3827968478696407	0.4868216176428955	22461	12862	5393	3205	5393	3205	0.8524075366364271	grch38	Naive	biograph	HG03732
8725	8725	5357	14707	0.6195852861809402	0.3723540457494025	0.46515967372181055	23432	14082	5370	3355	5370	3355	0.8578796561604585	grch38	SURVIVOR	biograph	NA19239
6577	6577	2382	14800	0.7341221118428396	0.307667118866071	0.4336102320675105	21377	8959	3904	2673	3904	2673	0.8651360802797629	chm13	Truvari	biograph	HG00171
8493	8493	4317	14469	0.6629976580796253	0.3698719623726156	0.47484065749748405	22962	12810	5103	3390	5103	3390	0.8439891675497468	chm13	Jasmine	biograph	HG00513
7309	7309	2980	15148	0.7103702983769073	0.32546644698757626	0.4464056678678312	22457	10289	4532	2777	4532	2777	0.8538787795868108	chm13	Jasmine	biograph	HG01596
7380	7380	2982	15632	0.7122177185871453	0.32070224230836086	0.44226044226044225	23012	10362	4416	2964	4416	2964	0.8509485094850948	chm13	BCFtools	biograph	HG00733
6961	6961	3401	14235	0.6717815093611272	0.32841102094734853	0.44115596679130487	21196	10362	4278	2683	4278	2683	0.8694153138916823	chm13	Naive	biograph	HG00733
10102	10102	4995	16130	0.6691395641518182	0.385102165294297	0.4888577028236831	26232	15097	5889	4213	5889	4213	0.834092258958622	grch38	Naive	biograph	NA19240
10805	10805	4292	19034	0.7157051069748956	0.36210999028117563	0.48090617767491534	29839	15097	6103	4702	6103	4702	0.8121240166589542	grch38	BCFtools	biograph	NA19240
8382	8382	2197	16491	0.7923244162964364	0.33699191894825714	0.4728647184926097	24873	10579	5295	3087	5295	3087	0.8439513242662849	grch38	Truvari	manta	HG00513
7240	7240	1730	17138	0.8071348940914158	0.29698908852243827	0.4342089480628524	24378	8970	4708	2532	4708	2532	0.8560773480662983	grch38	Truvari	manta	HG01596
7153	7153	2005	14758	0.7810657348766106	0.3264570307151659	0.4604589784029096	21911	9158	4717	2436	4717	2436	0.8779533063050469	grch38	Naive	manta	HG00512
9538	9538	3794	19376	0.7154215421542154	0.32987480113439854	0.45154570846944087	28914	13332	5407	4131	5407	4131	0.8263786957433424	chm13	BCFtools	biograph	HG03065
8956	8956	4376	17459	0.6717671767176717	0.33904978232065114	0.4506503635494502	26415	13332	5226	3730	5226	3730	0.8468066100937919	chm13	Naive	biograph	HG03065
7595	7595	4753	12313	0.6150793650793651	0.38150492264416314	0.4709201388888889	19908	12348	5092	2503	5092	2503	0.869651086240948	grch38	SURVIVOR	biograph	NA18534
7911	7911	5464	12078	0.5914766355140187	0.39576767221972087	0.4742237141829517	19989	13375	5108	2803	5108	2803	0.8627227910504361	grch38	SURVIVOR	biograph	HG01114
9820	9820	4149	18153	0.7029851814732623	0.3510528009151682	0.46826570025273	27973	13969	5437	4383	5437	4383	0.8182281059063137	chm13	Truvari	biograph	HG02587
9320	9320	3554	20770	0.7239397234736679	0.3097374543037554	0.43385159668559725	30090	12874	5333	3987	5333	3987	0.8375536480686695	chm13	BCFtools	biograph	HG03486
8807	8807	4067	18881	0.6840919683082182	0.3180800346720601	0.43424880429959073	27688	12874	5159	3648	5159	3648	0.855342341319405	chm13	Naive	biograph	HG03486
10445	10445	5284	15729	0.6640600165299765	0.3990601360128372	0.49853232465455943	26174	15729	6102	4343	6102	4343	0.836668262326472	grch38	Naive	biograph	HG03125
8270	8270	5699	14655	0.5920251986541628	0.36074154852780804	0.44831137854393666	22925	13969	4822	3448	4822	3448	0.8538089480048368	chm13	SURVIVOR	biograph	HG02587
11184	11184	4545	18450	0.7110432958230021	0.377404332860903	0.49308908140995966	29634	15729	6330	4854	6330	4854	0.8141988555078684	grch38	BCFtools	biograph	HG03125
8602	8602	1773	20198	0.8291084337349398	0.29868055555555556	0.4391576260370134	28800	10375	4966	3636	4966	3636	0.8421297372704022	grch38	Truvari	manta	HG02011
9402	9402	3954	16049	0.7039532794249775	0.3694157400495069	0.48455175612647194	25451	13356	5807	3595	5807	3595	0.8363114231014678	grch38	Jasmine	biograph	HG00733
9175	9175	3824	19021	0.7058235248865298	0.3254007660661087	0.4454424080592306	28196	12999	5124	4051	5124	4051	0.8374931880108992	chm13	Jasmine	biograph	HG02011
7044	7044	2650	15166	0.7266350319785434	0.3171544349392166	0.4415747241725176	22210	9694	4245	2799	4245	2799	0.8549119818285066	chm13	Truvari	biograph	NA20847
8864	8864	3182	16479	0.7358459239581604	0.34976127530284495	0.4741501511139639	25343	12046	5670	3194	5670	3194	0.8404783393501805	grch38	BCFtools	biograph	NA18939
8308	8308	3738	13927	0.6896895234932757	0.37364515403642906	0.48469997958052563	22235	12046	5444	2864	5444	2864	0.8576071256620125	grch38	Naive	biograph	NA18939
6060	6060	3634	12420	0.6251289457396327	0.32792207792207795	0.4301838574572301	18480	9694	3795	2265	3795	2265	0.8833333333333333	chm13	SURVIVOR	biograph	NA20847
8297	8297	2262	17580	0.78577516810304	0.320632221664026	0.45542869689318255	25877	10559	4911	3386	4911	3386	0.8516331204049656	grch38	Naive	manta	HG02818
8349	8349	2091	18139	0.799712643678161	0.31519933554817275	0.45217720970537256	26488	10440	5051	3298	5051	3298	0.857707509881423	grch38	Naive	manta	HG03486
8604	8604	3401	16546	0.716701374427322	0.3421073558648111	0.46314089624545823	25150	12005	5280	3324	5280	3324	0.8336820083682008	hg19	Jasmine	biograph	NA20847
8898	8898	3632	16033	0.7101356743814844	0.3569050579599695	0.4750540562184672	24931	12530	5598	3300	5598	3300	0.8426612721959991	grch38	Jasmine	biograph	NA20509
7260	7260	1629	17769	0.8167397907526156	0.290063526309481	0.42809127896692023	25029	8889	4592	2668	4592	2668	0.8541322314049586	grch38	Jasmine	manta	HG00096
10324	10324	4345	17932	0.7037971231849478	0.36537372593431483	0.4810250436808387	28256	14669	5842	4482	5842	4482	0.8248740798140256	hg19	Truvari	biograph	HG02011
8225	8225	2313	17859	0.7805086354146897	0.3153274037724275	0.44918355087106104	26084	10538	5015	3210	5015	3210	0.8496048632218844	grch38	Naive	manta	HG03065
7195	7195	4336	12504	0.6239701673749024	0.3652469668511092	0.4607748959333973	19699	11531	4672	2523	4672	2523	0.8779708130646282	hg19	SURVIVOR	biograph	HG00171
10188	10188	5345	15559	0.655893903302646	0.3956965860100206	0.4936046511627907	25747	15533	6058	4130	6058	4130	0.8370632116215155	hg19	Naive	biograph	HG02587
10949	10949	4584	18338	0.7048863709521663	0.3738518796735753	0.4885765283355644	29287	15533	6265	4684	6265	4684	0.8122202940907846	hg19	BCFtools	biograph	HG02587
9014	9014	4312	17970	0.6764220321176647	0.33404980729321077	0.4472339369883404	26984	13326	5210	3804	5210	3804	0.8472376303527845	chm13	Naive	biograph	HG02818
9571	9571	3755	19829	0.7182200210115564	0.3255442176870748	0.4480176005242709	29400	13326	5394	4177	5394	4177	0.8302162783408212	chm13	BCFtools	biograph	HG02818
10744	10744	4789	18543	0.6916886628468422	0.3668521869771571	0.4794288264167783	29287	15533	6189	4555	6189	4555	0.8158041697691735	hg19	Jasmine	biograph	HG02587
6969	6969	1498	18204	0.8230778315814338	0.27684423787391255	0.41432818073721767	25173	8467	4376	2593	4376	2593	0.8575118381403358	grch38	BCFtools	manta	HG01505
8615	8615	3185	16149	0.7300847457627119	0.3478840251978679	0.47122853079531785	24764	11800	5385	3230	5385	3230	0.8394660475914103	grch38	Truvari	biograph	HG01505
6998	6998	1569	18134	0.8168553752772265	0.27844978513448987	0.4153238968515386	25132	8567	4452	2546	4452	2546	0.8678193769648471	grch38	Jasmine	manta	HG00171
8150	8150	3855	13882	0.6788837984173262	0.36991648511256353	0.4788906190322296	22032	12005	5131	3019	5131	3019	0.8530061349693252	hg19	Naive	biograph	NA20847
7453	7453	4800	12228	0.6082592018281238	0.3786901072099995	0.4667752238992923	19681	12253	4844	2609	4844	2609	0.8715953307392996	hg19	SURVIVOR	biograph	HG00096
8700	8700	3305	16450	0.7246980424822991	0.34592445328031807	0.4683084376261607	25150	12005	5316	3384	5316	3384	0.8306896551724138	hg19	BCFtools	biograph	NA20847
9421	9421	3932	15576	0.7055343368531416	0.37688522622714726	0.4913168187744459	24997	13353	6059	3362	6059	3362	0.8423734210805647	grch38	Jasmine	biograph	HG00512
8786	8786	3467	15796	0.7170488859871051	0.3574159954438207	0.47704628749830325	24582	12253	5460	3326	5460	3326	0.8375825176417027	hg19	BCFtools	biograph	HG00096
8270	8270	3983	13380	0.6749367501836285	0.381986143187067	0.4878624310532991	21650	12253	5271	2999	5271	2999	0.8576783555018138	hg19	Naive	biograph	HG00096
7407	7407	4598	12685	0.6169929196168263	0.3686541907226757	0.46153846153846156	20092	12005	4769	2638	4769	2638	0.866477656271095	hg19	SURVIVOR	biograph	NA20847
8695	8695	2107	21109	0.8049435289761155	0.29173936384377935	0.42826183322661676	29804	10802	5110	3585	5110	3585	0.834617596319724	grch38	Jasmine	manta	HG02587
10381	10381	5300	14000	0.6620113513168803	0.4257823715188056	0.518246717587739	24381	15681	6447	3934	6447	3934	0.8309411424718235	hg19	Truvari	biograph	HG00513
8895	8895	3773	15066	0.7021629302178718	0.3712282458995868	0.48568074476507683	23961	12668	5695	3200	5695	3200	0.8404721753794266	hg19	Truvari	biograph	HG01596
6630	6630	3073	13434	0.683293826651551	0.3304425837320574	0.4454597372929755	20064	9703	4072	2558	4072	2558	0.8717948717948718	chm13	Naive	biograph	NA20509
8337	8337	3194	16332	0.7230075448790217	0.33795451781588226	0.46060773480662986	24669	11531	5218	3119	5218	3119	0.8534244932229819	hg19	Jasmine	biograph	HG00171
